Adularia,KAlSi3O8
Aegirine,NaFe3+Si2O6
Aegirine-augite,(NaCabFe2+cMgd)(Fe3+eAlfFe2+gMgh)Si2O6
Aenigmatite,Na4[Fe2+10Ti2]O4[Si12O36]
Aerinite,(Ca5.1Na0.5)(Fe3+AlFe2+Mg)4(AlMg)6[HSi12O36(OH)12][(CO3)1.2(H2O)12]
Aerugite,Ni8.5(AsO4)2As5+O8
Aeschynite-(Ce),(CeCaFeTh)(TiNb)2(OOH)6
Aeschynite-(Nd),(NdLnCa)(TiNb)2(OOH)6
Aeschynite-(Y),(YLnCaTh)(TiNb)2(OOH)6
Afghanite,(NaK)22Ca10(Si24Al24O96)(SO4)6Cl6
Afwillite,Ca3(HSiO4)2 · 2H2O
Agardite-(Nd),NdCu6(AsO4)3(OH)6 · 3H2O
Agardite-(Y),YCu6(AsO4)3(OH)6 · 3H2O
Agardite-(Ca),CaCu6(AsO4)2(AsO3OH)(OH)6 · 3H2O
Agardite-(Ce),CeCu6(AsO4)3(OH)6 · 3H2O
Agardite-(Dy),(DyLa)Cu6(AsO4)3(OH)6 · 3H2O
Agardite-(La),LaCu6(AsO4)3(OH)6 · 3H2O
Agate-Jasper,SiO2
Aglaurite,K(AlSi3O8)
Agrellite,NaCa2Si4O10F
Agrinierite,K2(CaSr)[(UO2)3O3(OH)2]2 · 5H2O
Aguilarite,Ag4SeS
Aheylite,(Fe2+Zn)Al6(PO4)4(OH)8 · 4H2O
Ahlfeldite,Ni(SeO3) · 2H2O
Aikinite,PbCuBiS3
Ainalite,SnO2
Ajoite,(KNa)Cu7AlSi9O24(OH)6 · 3H2O
Akaganeite,(Fe3+Ni2+)8(OHO)16Cl1.25 · nH2O
Akatoreite,Mn2+9Al2Si8O24(OH)8
Akdalaite,5Al2O3 · H2O
Åkermanite,Ca2Mg(Si2O7)
Akhtenskite,ε-Mn4+O2
Akrochordite,(Mn2+Mg)5(AsO4)2(OH)4 · 4H2O
Aksaite,Mg[B6O7(OH)6] · 2H2O
Aktashite,Cu6Hg3As4S12
Al-illite-hydromica,KAl2(AlSi3O10)(OH)2
Al-lizardite,Mg3(Si2O5)(OH)4
Alumino-ferro-hornblende,☐{Ca2}{Fe2+4Al}(AlSi7O22)(OH)2
Alkali-ferrohastingsite,{Na}{Ca2}{Fe2+4Fe3+}(Al2Si6O22)(OH)2
Alkali-spinel,MgAl2O4
Aluminobarroisite,☐{CaNa}{Mg3Al2}(AlSi7O22)(OH)2
Aluminowinchite,☐{CaNa}{Mg4Al}(Si8O22)(OH)2
Alumino-magnesio-hornblende,☐{Ca2}{Mg4Al}(AlSi7O22)(OH)2
Aluminocopiapite,Al2/3Fe3+4(SO4)6(OH)2 · 20H2O
Aluminium-sepiolite,Mg4(Si6O15)(OH)2 · 6H2O
Alabandite,MnS
Alabaster,CaSO4 · 2H2O
Alacránite,As8S9
Alaite,V2O5 · H2O
Alamosite,PbSiO3
Alarsite,AlAsO4
Albite,Na(AlSi3O8)
Albrechtschraufite,Ca4Mg(UO2)2(CO3)6F2 · 17-18H2O
Aluminokatophorite,{Na}{CaNa}{Fe2+4Al}[(AlSi7)O22](OH)2
Alkali-oxyapatite,Ca5(PO4)3(OH)
Aldanite,(ThPb)O2 ?
Albrittonite,CoCl2 · 6H2O
Aldermanite,Mg5Al12(PO4)8(OH)22 · 32H2O
Aldzhanite,CaMgB2O4Cl · 7H2O
Ferro-taramite,Na(CaNa)(Fe2+3Al2)(Al2Si6O22)(OH)2
Aluminium,Al
Aleksite,PbBi2Te2S2
Alexandrite,BeAl2O4
Alexandrolite,Cr2Al4Si8O25 · 6H2OO
Alforsite,Ba5(PO4)3Cl
Algerite,Ca4Al6Si6O24CO3
Algodonite,(Cu1-xAsx)
Aliettite,Ca0.2Mg6((SiAl)8O20)(OH)4 · 4H2O
Alipite,(NiMg)3Si4O10(OH)2 · nH2O
Alisonite,Cu6PbS4
Alkali-beryl,Be3Al2(Si6O18)
Alkali-femaghastingsite,{Na}{Ca2}{Fe2+4Fe3+}(Al2Si6O22)(OH)2
Allactite,Mn2+7(AsO4)2(OH)8
Allanite,{A12+REE3+}{M3+2M32+}(Si2O7)(SiO4)O(OH)
Allanite-(Ce),{CaCe}{Al2Fe2+}(Si2O7)(SiO4)O(OH)
Allanite-(La),{CaLa}{Al2Fe2+}(Si2O7)(SiO4)O(OH)
Allanite-(Y),{CaY}{Al2Fe2+}(Si2O7)(SiO4)O(OH)
Allargentum,(Ag1-xSbx)
Alleghanyite,Mn2+5(SiO4)2(OH)2
Alloclasite,Co1-xFexAsS
Allophane-evansite,(Al2O3)(SiO2)1.3-2 · 2.5-3H2O
Allophane,(Al2O3)(SiO2)1.3-2 · 2.5-3H2O
Allophite,Mg8Al4Si5O24 · H2O
Alluaivite,Na19(CaMn)6(TiNb)3Si26O74Cl · 2H2O
Alluaudite,(NaCa)Mn2+(Fe3+Mn2+Fe2+Mg)2(PO4)3
Almbosite,Fe2+5Fe3+4V6+4Si3O27
Aloisiite,Na2(CaFeMg)5Si2O10 · 2H2O
Alstonite,BaCa(CO3)2
Altaite,PbTe
Althausite,Mg4(PO4)2(OHO)(F☐)
Althupite,AlTh(UO2)7(PO4)4(OH)5O2 · 15H2O
Altisite,Na3K6Ti2Al2Si8O26Cl3
Alum Group,XAl(SO4)2 · 12H2O
Aluminian nontronite,Na0.33Fe2.17Al0.83Si3 · .17O10(OH)2Or close
Aluminite,Al2(SO4)(OH)4 · 7H2O
Aluminium-glauconite,(KNa)(MgFe2+Fe3+)(Fe3+Al)(SiAl)4O10(OH)2
Aluminium-saponite,Ca0.25(MgFe)3((SiAl)4O10)(OH)2 · nH2O
Alumohydrocalcite,CaAl2(CO3)2(OH)4 · 4H2O
Pharmacoalumite,KAl4(AsO4)3(OH)4 · 6.5H2O
Alumotantite,AlTaO4
Alumotungstite,◻2W2O6(H2O)
Alunite,KAl3(SO4)2(OH)6
Alunogen,Al2(SO4)3 · 17H2O
Alurgite,K2(MgAl)4-5(AlSi)8O20(OH)4
Alushtite,Na0.5(AlMg)6((SiAl)8O18)(OH)12 · 5H2O
Alvanite,(ZnNi)Al4(V5+O3)2(OH)12 · 2H2O
Alvite,Zr(SiO4)
Ammonium-Kainite,NH4MgSO4l · 3H2O
Ammonium-Bromcarnallite,NH4MgBr3 · 6H2O
Ammonium-Leucite,NH4AlSi2O6
Ammonium-Thomsonite,(NaNH4)Ca2[Al5Si5O20] · 6H2O
Ammonium-Aphthitalite,Na(KNH4)SO4
Ammonium-Mesolite,(NH4)Ca2Al6Si9O30 · 8H2O
Ammonium-Weeksite,(NH4)2(UO2)2(Si2O5)3 · 4H2O
Ammonium-Laumontite,[Ca(NH4)2]Al2Si4O12 · 4H2O
Ammonium-natrolite,(NH4)2Si3O10
Ammonium-Stilbite,(NH4)5Al5Si13O36 · 14H2O
Amakinite,(Fe2+Mg)(OH)2
Native Amalgam,(AgHg)
Amarantite,Fe3+2(SO4)2O · 7H2O
Amarillite,NaFe(SO4)2 · 6H2O
Amazonite,K(AlSi3O8)
Ammonium-Cryolite,(NH4)3AlF6
Ammonium-Boltwoodite,(NH4)2(UO2)2(SiO3)2 · 5H2O
Amblygonite,LiAl(PO4)F
Ammonium-Heulandite,[(NH4)2Ca]2Al4Si14O3 · 12H2O
